2018-07-22 16:50:50 - INFO - saving to ./results/cifar100
2018-07-22 16:50:50 - DEBUG - run arguments: Namespace(batch_size=32, dataset='cifar100', epochs=100, evaluate=None, gpus='0', input_size=None, lr=0.1, model='vgg_cifar10_binary', model_config='', momentum=0.9, optimizer='SGD', print_freq=10, results_dir='./results', resume='', save='cifar100', start_epoch=0, type='torch.cuda.FloatTensor', weight_decay=0.0001, workers=8)
2018-07-22 16:50:50 - INFO - creating model vgg_cifar10_binary
2018-07-22 16:50:51 - INFO - created model with configuration: {'input_size': None, 'dataset': 'cifar100'}
2018-07-22 16:50:51 - INFO - number of parameters: 36626276
2018-07-22 16:53:00 - INFO - training regime: {0: {'optimizer': 'Adam', 'betas': (0.9, 0.999), 'lr': 0.005}, 40: {'lr': 0.001}, 80: {'lr': 0.0005}, 100: {'lr': 0.0001}, 120: {'lr': 5e-05}, 140: {'lr': 1e-05}}
2018-07-22 16:53:00 - DEBUG - OPTIMIZER - setting method = Adam
2018-07-22 16:53:00 - DEBUG - OPTIMIZER - setting lr = 0.005
2018-07-22 16:53:00 - DEBUG - OPTIMIZER - setting betas = (0.9, 0.999)
2018-07-22 16:53:16 - INFO - TRAINING - Epoch: [0][230/1563]	Time 0.057 (0.070)	Data 0.000 (0.006)	Loss 4.7194 (4.8300)	Prec@1 0.000 (1.556)	Prec@5 12.500 (7.495)
2018-07-22 16:53:17 - INFO - TRAINING - Epoch: [0][240/1563]	Time 0.058 (0.070)	Data 0.000 (0.006)	Loss 5.0093 (4.8236)	Prec@1 0.000 (1.569)	Prec@5 0.000 (7.637)
2018-07-22 16:53:18 - INFO - TRAINING - Epoch: [0][250/1563]	Time 0.057 (0.069)	Data 0.000 (0.006)	Loss 4.7111 (4.8172)	Prec@1 3.125 (1.569)	Prec@5 6.250 (7.682)
2018-07-22 16:53:18 - INFO - TRAINING - Epoch: [0][260/1563]	Time 0.058 (0.069)	Data 0.000 (0.006)	Loss 4.5375 (4.8129)	Prec@1 3.125 (1.604)	Prec@5 12.500 (7.711)
2018-07-22 16:53:19 - INFO - TRAINING - Epoch: [0][270/1563]	Time 0.058 (0.069)	Data 0.000 (0.006)	Loss 4.5877 (4.8097)	Prec@1 0.000 (1.545)	Prec@5 6.250 (7.657)
2018-07-22 16:53:19 - INFO - TRAINING - Epoch: [0][280/1563]	Time 0.058 (0.068)	Data 0.000 (0.006)	Loss 4.8643 (4.8101)	Prec@1 0.000 (1.568)	Prec@5 3.125 (7.673)
2018-07-22 16:53:20 - INFO - TRAINING - Epoch: [0][290/1563]	Time 0.058 (0.068)	Data 0.000 (0.006)	Loss 4.8139 (4.8073)	Prec@1 0.000 (1.675)	Prec@5 3.125 (7.732)
2018-07-22 16:53:21 - INFO - TRAINING - Epoch: [0][300/1563]	Time 0.058 (0.067)	Data 0.000 (0.006)	Loss 4.6300 (4.8024)	Prec@1 9.375 (1.734)	Prec@5 9.375 (7.922)
2018-07-22 16:53:21 - INFO - TRAINING - Epoch: [0][310/1563]	Time 0.058 (0.067)	Data 0.000 (0.006)	Loss 4.7113 (4.7975)	Prec@1 0.000 (1.698)	Prec@5 9.375 (7.918)
2018-07-22 16:53:22 - INFO - TRAINING - Epoch: [0][320/1563]	Time 0.058 (0.067)	Data 0.000 (0.006)	Loss 4.7466 (4.7928)	Prec@1 0.000 (1.713)	Prec@5 0.000 (7.934)
